Domain_Name,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
microeaggle.github.io,0,0,0,1,0,0,0,0,1,1,1,1,1
shaw-103506.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
qeuvev-f3cbb3.ingress-haven.ewp.live,0,0,1,6,0,0,0,1,1,1,1,1,1
us17.list-manage.com,0,0,1,1,0,0,0,1,1,1,1,1,1
pub-162fe054277a40a08dd9cc160141da3c.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
tinyurl.com,0,0,0,1,0,0,1,0,1,1,1,1,1
support-en-trzorstarth.gitbook.io,0,0,0,0,0,0,0,1,1,1,1,1,1
pt11ems-post.cyou,0,0,0,0,0,0,0,1,1,1,1,1,1
dgfffdfdgdfgdfgdfg.blogspot.tw,0,0,0,0,0,0,0,0,1,1,1,1,1
mail.sonkanchase.duckdns.org,0,0,1,2,0,0,0,0,1,1,1,1,1
cloudflare-ipfs.com,0,0,1,2,0,0,0,1,1,1,1,1,1
web.telegarnn.co,0,0,0,0,0,0,0,0,1,1,1,1,1
docs.google.com,0,0,1,3,0,0,0,0,1,1,1,1,1
netflixbills2024.account58956.org,0,0,1,2,0,0,0,0,1,1,1,1,1
bit.ly,0,0,0,1,0,0,1,0,1,1,1,1,1
bet938j.com,0,0,0,0,0,0,0,0,1,1,1,1,1
se.femn1.za.com,0,0,1,4,0,0,0,0,1,1,1,1,1
pancake-alpha8.vercel.app,0,0,0,0,0,0,0,1,1,1,1,1,1
cox-communication-104734.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
pub-bb92247334984db594ff6e0773fdb5b6.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
ramji.pages.dev,0,0,0,0,0,0,0,0,1,1,1,1,1
prnto.fr-1.paas.massivegrid.net,0,0,1,2,0,0,0,1,1,1,1,1,1
arsrsffarcw.w3spaces.com,0,0,0,1,0,0,0,0,1,1,1,1,1
e-serviceparts.info,0,0,1,3,0,0,0,1,1,1,1,1,1
eric-7643-brown.pages.dev,0,0,0,1,0,0,0,1,1,1,1,1,1
netflix-251l4xi6e-zubair-moerats-projects.vercel.app,0,0,1,0,0,0,0,1,1,1,1,1,1
hergunavantaj.com.tr,0,0,0,2,0,0,0,0,1,1,1,1,1
login-screen-104136.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
freemints-i17.vercel.app,0,0,0,0,0,0,0,1,1,1,1,1,1
hx8elupi.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1
estudosdoespirito.org.br,0,0,1,8,0,0,0,0,1,1,1,1,1
rb.gy,0,0,0,1,0,0,0,0,1,1,1,1,1
didianeensing-fft-oshehun.pages.dev,0,0,1,3,0,0,0,1,1,1,1,1,1
connets-webt.webflow.io,0,0,0,0,0,0,0,1,1,1,1,1,1
cuensbacolognin.gitbook.io,0,0,0,1,0,0,0,0,1,1,1,1,1
t0koep2cket.top,0,0,0,0,0,0,0,0,1,1,1,1,1
nvbvnco.com,0,0,0,2,0,0,0,0,1,1,1,1,1
qdz.xng.mybluehost.me,0,0,1,1,0,0,0,0,1,1,1,1,1
login.restorecords-ds.xyz,0,0,1,1,0,0,0,1,1,1,1,1,1
currentlyatt0009.weebly.com,0,0,0,0,0,0,0,0,1,1,1,1,1
yellowjacket.co.nz,0,0,0,1,0,0,1,0,1,1,1,1,1
frontier-mail-2e03f3.webflow.io,0,0,0,0,0,0,0,1,1,1,1,1,1
shaw-106791.square.site,0,0,0,0,0,0,0,1,1,1,1,1,1
yjzo3i8u.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1
srv169694.hoster-test.ru,0,0,0,1,0,0,0,1,1,1,1,1,1
ddhhhde123.weeblysite.com,0,0,0,0,0,0,0,0,1,1,1,1,1
ing.cuenta-naranja.com,0,0,0,0,0,0,0,1,1,1,1,1,1
complaint.com-extranets-admin.com,0,0,1,1,0,0,1,1,1,1,1,1,1
73ze.cn,0,0,0,0,0,0,0,0,1,1,1,1,1
mlinhaares.wixstudio.io,0,0,0,1,0,0,0,0,1,1,1,1,1
conitelessiontone.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,1
att-102363-107068.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
telegramgroupqq-e97.pages.dev,0,0,0,0,0,0,0,1,1,1,1,1,1
away.vk.com,0,0,1,1,0,0,0,0,1,1,1,1,1
nvbvnco.com,0,0,0,2,0,0,0,0,1,1,1,1,1
helpmetamask-org.gitbook.io,0,0,0,1,0,0,0,1,1,1,1,1,1
spotifyplaybackspeed.com,0,0,0,0,0,0,0,0,1,1,1,1,1
rewardff2024.my.id,0,0,0,0,0,0,0,0,1,1,1,1,1
game042.com,0,0,0,1,0,0,0,0,1,1,1,1,1
o1x.49034765.xyz,0,0,0,1,0,0,0,0,1,1,1,1,1
access-wallets.pages.dev,0,0,0,0,0,0,0,1,1,1,1,1,1
rozvag.com.ua,0,0,1,8,0,0,0,0,1,1,1,1,1
otnielssilva.github.io,0,0,1,1,0,0,0,0,1,1,1,1,1
pub-cbd59d6af69b4d7aa6c41d666da30f68.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
ygtyfnh.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,1
speierjohn.activehosted.com,0,0,0,2,0,0,0,0,1,1,1,1,1
metamaskderchromefgextension.gitbook.io,0,0,0,0,0,0,0,0,1,1,1,1,1
maillboz.terrimaill.dynv6.net,0,0,1,2,0,0,0,0,1,1,1,1,1
secure0100.micro-global.workers.dev,0,0,1,3,0,0,0,1,1,1,1,1,1
help--info--metamssk.gitbook.io,0,0,0,1,0,0,0,1,1,1,1,1,1
postmaster.linkprotection.us,0,0,0,1,0,0,0,0,1,1,1,1,1
docs.google.com,0,0,1,3,0,0,0,0,1,1,1,1,1
fnxx.info,0,0,1,1,0,0,0,0,1,1,1,1,1
web-help-sso-kucoin.webflow.io,0,0,0,0,0,0,0,1,1,1,1,1,1
homes-latest-update.webflow.io,0,0,0,0,0,0,0,1,1,1,1,1,1
traveladventures.click,0,0,0,0,0,0,0,0,1,1,1,1,1
teiageoarnn.com,0,0,0,0,0,0,0,0,1,1,1,1,1
hergunavantaj.com.tr,0,0,0,2,0,0,0,0,1,1,1,1,1
sincere-excited-mantis.glitch.me,0,1,1,0,0,0,0,1,1,1,1,1,1
h5uox.shop,0,0,0,0,0,0,0,0,1,1,1,1,1
indigo111231.studio.site,0,0,0,0,0,0,0,0,1,1,1,1,1
qzn4mpfkl.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1
turkiyecumhuriyetiziraatbankasi.com,0,0,1,3,0,0,0,0,1,1,1,1,1
gemmacollings4.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,1
frissitesitt.webflow.io,0,0,0,0,0,0,0,0,1,1,1,1,1
bafybeicm5zrvqrmmk56dngqnhklkfsr6udl6peyvdd5zhxitwuvmdslske.ipfs.dweb.link,0,0,1,1,0,0,0,0,1,1,1,1,1
sgvrlprnvideos.vvipsg10.my.id,0,0,0,1,0,0,0,0,1,1,1,1,1
worker-warp2sub.geforce8800.workers.dev,0,0,0,0,0,0,0,1,1,1,1,1,1
gii9p33vc.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1
pub-cd40d4fab9ea43c2a4aefd9846b0f33d.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
tinyurl.com,0,0,0,1,0,0,1,0,1,1,1,1,1
desktop.tlgr.org,0,0,0,0,0,0,0,0,1,1,1,1,1
usvsvuit5ug.pages.dev,0,0,0,0,0,0,0,0,1,1,1,1,1
eqtzdxn.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1
serviec-dp.dvrlists.com,0,0,0,1,0,0,0,1,1,1,1,1,1
mkmohammedmakki.github.io,0,0,0,1,0,0,0,0,1,1,1,1,1
help-coinbtewansion.gitbook.io,0,0,0,1,0,0,0,1,1,1,1,1,1
logiumetatms.gitbook.io,0,0,0,1,0,0,0,0,1,1,1,1,1
schwab-client-login-003-02.s3.sa-east-1.amazonaws.com,0,0,1,1,0,0,0,1,1,1,1,1,1
att-108559-100931.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
1c1ickaway.docusgn-sharedviaoffic3.workers.dev,0,0,1,0,0,0,0,1,1,1,1,1,1
junosupportsite-44e505.webflow.io,0,0,0,0,0,0,0,1,1,1,1,1,1
combazesing.gitbook.io,0,0,0,1,0,0,0,0,1,1,1,1,1
pub-d43ad3acfa6f478a8742af16784dbbf2.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
pub-ab090a48bce34fb3973d3658ac7af2fe.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
tinyurl.com,0,0,0,1,0,0,1,0,1,1,1,1,1
fi.apostns.top,0,0,0,1,0,0,0,0,1,1,1,1,1
hergunavantaj.com.tr,0,0,0,2,0,0,0,0,1,1,1,1,1
ihren-sidcheck.com,0,0,0,1,0,0,0,1,1,1,1,1,1
get-blue-verified.vercel.app,0,0,0,0,0,0,0,1,1,1,1,1,1
cms.ruangguru.com.amazon.fahrylvpn.my.id,0,0,0,0,0,0,0,0,1,1,1,1,1
pub-85bda52bcdb1497b97ea40b69d6065c9.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
cp28533.tw1.ru,0,0,0,2,0,0,0,0,1,1,1,1,1
aidanochka-tabys.kz,0,0,0,0,0,0,0,1,1,1,1,1,1
usnw.tjwxcy.top,0,0,0,0,0,0,0,0,1,1,1,1,1
docs.google.com,0,0,1,4,0,0,0,0,1,1,1,1,1
docs.google.com,0,0,1,3,0,0,0,0,1,1,1,1,1
adminuser2.telecom-z.org,0,0,0,0,0,0,0,1,1,1,1,1,1
site-b-bitstamp-official.webflow.io,0,0,0,0,0,0,0,1,1,1,1,1,1
a1006349.xsph.ru,0,0,1,8,0,0,0,0,1,1,1,1,1
update345.pages.dev,0,0,0,0,0,0,0,0,1,1,1,1,1
hi.055333.xyz,0,0,0,0,0,0,0,0,1,1,1,1,1
ziqu2tks.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1
hergunavantaj.com.tr,0,0,0,2,0,0,0,0,1,1,1,1,1
bit.ly,0,0,0,1,0,0,1,0,1,1,1,1,1
kevenhenley6903.pages.dev,0,0,1,3,0,0,0,0,1,1,1,1,1
h11j24qwx.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,1
web-whatsapp-mk.com,0,0,0,0,0,0,0,1,1,1,1,1,1
wlanonlineupdate.com,0,0,1,3,0,0,0,0,1,1,1,1,1
bitestamploeugine.webflow.io,0,0,0,0,0,0,0,0,1,1,1,1,1
vesjt.cn,0,0,0,0,0,0,0,0,1,1,1,1,1
hjwjs.cn,0,0,0,0,0,0,0,0,1,1,1,1,1
acwergt4h5y67imjtnhrb3r2ecwdedef.weebly.com,0,0,0,0,0,0,0,0,1,1,1,1,1
pub-6b898b25dccb43a8b9fd13efe75efaf8.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
nvbvnco.com,0,0,0,2,0,0,0,0,1,1,1,1,1
webde-104438.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
utews.com,0,0,0,0,0,0,0,0,1,1,1,1,1
server.n6b8.com,0,0,0,2,0,0,0,0,1,1,1,1,1
dmarket.comatomsari.com,0,0,0,1,0,0,1,0,1,1,1,1,1
abv-102725.square.site,0,0,0,0,0,0,0,1,1,1,1,1,1
site1.misterb.site,0,0,0,0,0,0,0,0,1,1,1,1,1
utezu.com,0,0,0,0,0,0,0,0,1,1,1,1,1
usvm.indqxwev.top,0,0,0,0,0,0,0,0,1,1,1,1,1
l.ead.me,0,0,0,1,0,0,0,0,1,1,1,1,1
metamkwallet-us.gitbook.io,0,0,0,1,0,0,0,1,1,1,1,1,1
urlz.fr,0,0,0,1,0,0,0,0,1,1,1,1,1
shaw-100218.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
rebrand.ly,0,0,0,1,0,0,0,0,1,1,1,1,1
chi-eaml-ionos-co-uk-eaml.propropertyservices.ca,0,0,1,1,0,0,0,1,1,1,1,1,1
ifnaofgneaugbaeiughnaiengarubgyrag4346.azurewebsites.net,0,0,1,0,0,0,0,0,1,1,1,1,1
walletwise-sa.com,0,0,1,4,0,0,0,1,1,1,1,1,1
amazon.sihengyoule.com,0,0,0,0,0,0,0,0,1,1,1,1,1
dropbox.com,0,0,1,4,0,0,1,0,1,1,1,1,1
hergunavantaj.com.tr,0,0,0,2,0,0,0,0,1,1,1,1,1
id.hillsidenewmedia.com,0,0,0,0,0,0,0,0,1,1,1,1,1
padeltarvike.fi,0,0,0,3,0,0,0,0,1,1,1,1,1
fvuahvm.top,0,0,0,0,0,0,0,0,1,1,1,1,1
rrpostoffice.com,0,0,0,1,0,0,0,0,1,1,1,1,1
jflfufsdfi.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,1
complaint.admin-id4721.eu,0,0,1,1,0,0,0,1,1,1,1,1,1
faite637-dot-yamm-track.appspot.com,0,0,1,1,0,0,1,1,1,1,1,1,1
dev-id-021245.pantheonsite.io,0,0,0,1,0,0,0,1,1,1,1,1,1
sagongzhu.cn,0,0,0,0,0,0,0,0,1,1,1,1,1
tinyurl.com,0,0,0,1,0,0,1,0,1,1,1,1,1
pub-4bd69f6b9a804487a391bc3d7798b1b1.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
metamasksuportio.webflow.io,0,0,0,0,0,0,0,0,1,1,1,1,1
rjc.jxc.mybluehost.me,0,0,0,2,0,0,0,0,1,1,1,1,1
debtpile.web.app,0,0,0,0,0,0,0,0,1,1,1,1,1
pemeliharaan-akun.dana.webappsystem.com,0,0,0,0,0,0,0,1,1,1,1,1,1
atlnhbvbhjnm.weeblysite.com,0,0,0,0,0,0,0,0,1,1,1,1,1
hnfhmz.com,0,0,0,1,0,0,0,0,1,1,1,1,1
pietroargentoexportconsulting.com,0,0,1,3,0,0,0,0,1,1,1,1,1
avuwe.cn,0,0,0,0,0,0,0,0,1,1,1,1,1
cf0917.pages.dev,0,0,0,0,0,0,0,0,1,1,1,1,1
lnky.ru,0,0,0,1,0,0,0,0,1,1,1,1,1
telegrarm.fit,0,0,0,0,0,0,0,0,1,1,1,1,1
s.id,0,0,0,1,0,0,0,0,1,1,1,1,1
qrtssctt.icu,0,0,0,1,0,0,0,0,1,1,1,1,1
bacminhhai.com,0,0,0,1,0,0,0,0,1,1,1,1,1
hergunavantaj.com.tr,0,0,0,2,0,0,0,0,1,1,1,1,1
pancake-airdropv5.vercel.app,0,0,0,0,0,0,0,1,1,1,1,1,1
secure53onlineverify.webflow.io,0,0,0,0,0,0,0,0,1,1,1,1,1
statutunerlage-f42afb.ingress-haven.ewp.live,0,0,1,5,0,0,0,1,1,1,1,1,1
metyumaklogi.webflow.io,0,0,0,0,0,0,0,0,1,1,1,1,1
qrco.de,0,0,0,1,0,0,0,0,1,1,1,1,1
swazilandrugby.com,0,0,0,0,0,0,0,0,1,1,1,1,1
meli-ssr-search-product.vercel.app,0,0,0,0,0,0,0,1,1,1,1,1,1
metamasknextensiogh.webflow.io,0,0,0,0,0,0,0,0,1,1,1,1,1
findmy.id-track.info,0,0,0,1,0,0,0,1,1,1,1,1,1
quizargame.ru,0,0,0,3,0,0,0,0,1,1,1,1,1
pelebrown.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,1
abv-102123.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
daksjeeeee.weebly.com,0,0,0,0,0,0,0,0,1,1,1,1,1
mailgroupreserve.weebly.com,0,0,0,0,0,0,0,0,1,1,1,1,1
complaint.com-extranets-admin.com,0,0,1,1,0,0,1,1,1,1,1,1,1
volny-106621.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
pub-2181880fed354825aabfd62eb79d0daf.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,1
shaw-100731.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
tinyurl.com,0,0,0,1,0,0,1,0,1,1,1,1,1
n0vjeko.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1
muitivhain.pages.dev,0,0,0,1,0,0,0,0,1,1,1,1,1
marcolino011111.github.io,0,0,1,1,0,0,0,0,1,1,1,1,1
novakdeals.info,0,0,0,0,0,0,0,0,1,1,1,1,1
t.co,0,0,0,1,0,0,1,0,1,1,1,1,1
posttracknow.top,0,0,0,0,0,0,0,0,1,1,1,1,1
ityhjy.com,0,0,0,0,0,0,0,0,1,1,1,1,1
rentaequipospiedra.cl,0,0,0,1,0,0,0,0,1,1,1,1,1
pub-e8d896a9549a402782c75428d077b014.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
microsoft.dfautomotive.de,0,0,0,0,0,0,0,0,1,1,1,1,1
boyiguanggao16.com,0,0,0,1,0,0,0,0,1,1,1,1,1
hergunavantaj.com.tr,0,0,0,2,0,0,0,0,1,1,1,1,1
sp.26skins.com,0,0,1,3,0,0,0,0,1,1,1,1,1
postnord24h.buzz,0,0,0,1,0,0,0,0,1,1,1,1,1
l.wl.co,0,1,1,1,1,0,1,0,1,1,1,1,1
btinternet-101295.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
hergunavantaj.com.tr,0,0,0,2,0,0,0,0,1,1,1,1,1
pub-94aff39029334611864f77ff5bce34bd.r2.dev,0,0,1,2,0,0,0,1,1,1,1,1,1
notifyhubss.net,0,0,1,1,0,0,0,0,1,1,1,1,1
metamask-restore-web.webflow.io,0,0,0,0,0,0,0,1,1,1,1,1,1
h-trezor-io-start.webflow.io,0,0,0,0,0,0,0,1,1,1,1,1,1
vf.ziy12.za.com,0,0,0,0,0,0,0,0,1,1,1,1,1
c9pp1xsry2.free.hr,0,0,0,2,0,0,0,0,1,1,1,1,1
blog.webex.com.sg.ryo.biz.id,0,0,0,0,0,0,1,0,1,1,1,1,1
pub-f0c9f87ca7f6456dad52fd1e2908b3d7.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
helep-s--metaemask.gitbook.io,0,0,0,1,0,0,0,1,1,1,1,1,1
manbet.tv,0,0,0,0,0,0,0,0,1,1,1,1,1
ipfs.io,0,0,1,3,0,0,0,0,1,1,1,1,1
mruitmasslogan.webflow.io,0,0,0,0,0,0,0,0,1,1,1,1,1
findmy.ind.in,0,0,0,1,0,0,0,0,1,1,1,1,1
chh3ouh.ktt55.my.id,0,0,0,0,0,0,0,0,1,1,1,1,1
helpdesk-review-center-id-19485241.d1t8t0hb71jb7q.amplifyapp.com,0,0,1,1,0,0,0,1,1,1,1,1,1
home-104529.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
webmail-orangefr.weebly.com,0,0,0,0,0,0,0,1,1,1,1,1,1
l.ead.me,0,0,0,1,0,0,0,0,1,1,1,1,1
bt-101539.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
sup-robertgaulin359.pages.dev,0,0,1,3,0,0,0,1,1,1,1,1,1
yl8686.com,0,0,0,1,0,0,0,0,1,1,1,1,1
urlz.fr,0,0,0,1,0,0,0,0,1,1,1,1,1
hm.ru,0,0,0,1,0,0,0,0,1,1,1,1,1
shaw-101117.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
victoryleagueeu.info,0,0,0,0,0,0,0,0,1,1,1,1,1
atefeh-new.pughelidagx-y-w-1-6-20.workers.dev,0,0,0,0,0,0,0,1,1,1,1,1,1
hergunavantaj.com.tr,0,0,0,2,0,0,0,0,1,1,1,1,1
credit-agricole-097db6.webflow.io,0,0,0,0,0,0,0,1,1,1,1,1,1
17cf534fe70cb774.ngrok.app,0,0,0,0,0,0,0,0,1,1,1,1,1
qrco.de,0,0,0,1,0,0,0,0,1,1,1,1,1
gw.ruangguru.com.jiran.fahrylvpn.my.id,0,0,0,0,0,0,0,0,1,1,1,1,1
crimson-horse-l0tlxq.mystrikingly.com,0,0,0,0,0,0,0,1,1,1,1,1,1
jenschow.com,0,0,0,2,0,0,0,0,1,1,1,1,1
connection-page-info-team.surge.sh,0,0,0,0,0,0,0,1,1,1,1,1,1
help--ledgerisuport.gitbook.io,0,0,0,1,0,0,0,1,1,1,1,1,1
tokenp0kczt.net,0,0,0,0,0,0,0,0,1,1,1,1,1
adobe-knwrgjnwghnwhrkfnejwnfkje.pages.dev,0,0,0,0,0,0,0,1,1,1,1,1,1
hrposttonns.top,0,0,0,1,0,0,0,0,1,1,1,1,1
hergunavantaj.com.tr,0,0,0,2,0,0,0,0,1,1,1,1,1
pce.joe.mybluehost.me,0,0,1,5,0,0,0,0,1,1,1,1,1
apps-app-kucoin.webflow.io,0,0,0,0,0,0,0,1,1,1,1,1,1
choruspros-facture.webflow.io,0,0,0,0,0,0,0,1,1,1,1,1,1
lapostemss.top,0,0,0,1,0,0,0,0,1,1,1,1,1
abv-107684.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
mobile-app-de4.pages.dev,0,0,1,0,0,0,0,1,1,1,1,1,1
ibppnb.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1
cutt.ly,0,0,0,1,0,0,0,0,1,1,1,1,1
gwijqwfbxubb.com,0,0,0,0,0,0,0,0,1,1,1,1,1
pub-2322535839cb4ee8b033d4cc46ffaa2c.r2.dev,0,0,1,1,0,0,0,1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,1
posiyust.buzz,0,0,0,1,0,0,0,0,1,1,1,1,1
away.vk.com,0,0,1,1,0,0,0,0,1,1,1,1,1
kjiu.pages.dev,0,0,0,0,0,0,0,0,1,1,1,1,1
help-sso-metamask.gitbook.io,0,0,0,1,0,0,0,1,1,1,1,1,1
tiny1.org,0,0,0,1,0,0,0,0,1,1,1,1,1
cox-communication-104769.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
adminuser.tgchat.vip,0,0,0,0,0,0,0,0,1,1,1,1,1
notifyhubss.net,0,0,1,1,0,0,0,0,1,1,1,1,1
